visit_date,visitors,day_of_week
2016-01-01,1033,Friday
2016-01-02,1764,Saturday
2016-01-03,2368,Sunday
2016-01-04,3326,Monday
2016-01-05,3927,Tuesday
2016-01-06,4154,Wednesday
2016-01-07,4431,Thursday
2016-01-08,6115,Friday
2016-01-09,7306,Saturday
2016-01-10,6066,Sunday
2016-01-11,4469,Monday
2016-01-12,3981,Tuesday
2016-01-13,4848,Wednesday
2016-01-14,5269,Thursday
2016-01-15,6817,Friday
2016-01-16,7552,Saturday
2016-01-17,4746,Sunday
2016-01-18,3274,Monday
2016-01-19,4412,Tuesday
2016-01-20,4803,Wednesday
2016-01-21,5402,Thursday
2016-01-22,6830,Friday
2016-01-23,7312,Saturday
2016-01-24,4749,Sunday
2016-01-25,3847,Monday
2016-01-26,4781,Tuesday
2016-01-27,5329,Wednesday
2016-01-28,5303,Thursday
2016-01-29,6141,Friday
2016-01-30,7562,Saturday
2016-01-31,5007,Sunday
2016-02-01,3669,Monday
2016-02-02,4456,Tuesday
2016-02-03,4687,Wednesday
2016-02-04,5033,Thursday
2016-02-05,6599,Friday
2016-02-06,7745,Saturday
2016-02-07,4962,Sunday
2016-02-08,3834,Monday
2016-02-09,4919,Tuesday
2016-02-10,6408,Wednesday
2016-02-11,6173,Thursday
2016-02-12,6338,Friday
2016-02-13,7520,Saturday
2016-02-14,4706,Sunday
2016-02-15,3961,Monday
2016-02-16,4593,Tuesday
2016-02-17,5249,Wednesday
2016-02-18,5298,Thursday
2016-02-19,6828,Friday
2016-02-20,6815,Saturday
2016-02-21,5099,Sunday
2016-02-22,3889,Monday
2016-02-23,4882,Tuesday
2016-02-24,4934,Wednesday
2016-02-25,5621,Thursday
2016-02-26,7395,Friday
2016-02-27,8435,Saturday
2016-02-28,5776,Sunday
2016-02-29,4110,Monday
2016-03-01,4616,Tuesday
2016-03-02,5289,Wednesday
2016-03-03,5227,Thursday
2016-03-04,6934,Friday
2016-03-05,8048,Saturday
2016-03-06,5179,Sunday
2016-03-07,3787,Monday
2016-03-08,5136,Tuesday
2016-03-09,4858,Wednesday
2016-03-10,5479,Thursday
2016-03-11,7156,Friday
2016-03-12,8185,Saturday
2016-03-13,5371,Sunday
2016-03-14,4170,Monday
2016-03-15,5402,Tuesday
2016-03-16,5785,Wednesday
2016-03-17,6090,Thursday
2016-03-18,7836,Friday
2016-03-19,8002,Saturday
2016-03-20,7146,Sunday
2016-03-21,5015,Monday
2016-03-22,5452,Tuesday
2016-03-23,5735,Wednesday
2016-03-24,5793,Thursday
2016-03-25,8488,Friday
2016-03-26,8742,Saturday
2016-03-27,5938,Sunday
2016-03-28,5349,Monday
2016-03-29,6517,Tuesday
2016-03-30,6271,Wednesday
2016-03-31,6296,Thursday
2016-04-01,7342,Friday
2016-04-02,7582,Saturday
2016-04-03,4994,Sunday
2016-04-04,4275,Monday
2016-04-05,5270,Tuesday
2016-04-06,5524,Wednesday
2016-04-07,4950,Thursday
2016-04-08,7610,Friday
2016-04-09,8249,Saturday
2016-04-10,5607,Sunday
2016-04-11,4153,Monday
2016-04-12,4884,Tuesday
2016-04-13,5211,Wednesday
2016-04-14,5429,Thursday
2016-04-15,7495,Friday
2016-04-16,8656,Saturday
2016-04-17,5253,Sunday
2016-04-18,4011,Monday
2016-04-19,5181,Tuesday
2016-04-20,5706,Wednesday
2016-04-21,5337,Thursday
2016-04-22,7714,Friday
2016-04-23,8326,Saturday
2016-04-24,5378,Sunday
2016-04-25,4393,Monday
2016-04-26,5722,Tuesday
2016-04-27,5685,Wednesday
2016-04-28,6939,Thursday
2016-04-29,7829,Friday
2016-04-30,7567,Saturday
2016-05-01,6208,Sunday
2016-05-02,5687,Monday
2016-05-03,6994,Tuesday
2016-05-04,6818,Wednesday
2016-05-05,5859,Thursday
2016-05-06,5167,Friday
2016-05-07,7044,Saturday
2016-05-08,5496,Sunday
2016-05-09,3478,Monday
2016-05-10,4208,Tuesday
2016-05-11,4897,Wednesday
2016-05-12,5544,Thursday
2016-05-13,7285,Friday
2016-05-14,8101,Saturday
2016-05-15,5339,Sunday
2016-05-16,3782,Monday
2016-05-17,4498,Tuesday
2016-05-18,5389,Wednesday
2016-05-19,5527,Thursday
2016-05-20,7236,Friday
2016-05-21,8614,Saturday
2016-05-22,5266,Sunday
2016-05-23,4219,Monday
2016-05-24,4747,Tuesday
2016-05-25,5510,Wednesday
2016-05-26,5894,Thursday
2016-05-27,7126,Friday
2016-05-28,8389,Saturday
2016-05-29,5834,Sunday
2016-05-30,4188,Monday
2016-05-31,5274,Tuesday
2016-06-01,5274,Wednesday
2016-06-02,5405,Thursday
2016-06-03,6992,Friday
2016-06-04,7739,Saturday
2016-06-05,5244,Sunday
2016-06-06,4107,Monday
2016-06-07,4786,Tuesday
2016-06-08,5523,Wednesday
2016-06-09,5340,Thursday
2016-06-10,7485,Friday
2016-06-11,8291,Saturday
2016-06-12,5385,Sunday
2016-06-13,3853,Monday
2016-06-14,5065,Tuesday
2016-06-15,5385,Wednesday
2016-06-16,5265,Thursday
2016-06-17,7825,Friday
2016-06-18,8392,Saturday
2016-06-19,5524,Sunday
2016-06-20,4058,Monday
2016-06-21,5039,Tuesday
2016-06-22,5160,Wednesday
2016-06-23,5429,Thursday
2016-06-24,7667,Friday
2016-06-25,8555,Saturday
2016-06-26,5896,Sunday
2016-06-27,4346,Monday
2016-06-28,5146,Tuesday
2016-06-29,5748,Wednesday
2016-06-30,5898,Thursday
2016-07-01,7211,Friday
2016-07-02,7899,Saturday
2016-07-03,5307,Sunday
2016-07-04,3890,Monday
2016-07-05,4905,Tuesday
2016-07-06,5650,Wednesday
2016-07-07,5445,Thursday
2016-07-08,7112,Friday
2016-07-09,7662,Saturday
2016-07-10,5548,Sunday
2016-07-11,3837,Monday
2016-07-12,5249,Tuesday
2016-07-13,5040,Wednesday
2016-07-14,5315,Thursday
2016-07-15,7077,Friday
2016-07-16,7890,Saturday
2016-07-17,6533,Sunday
2016-07-18,4418,Monday
2016-07-19,4470,Tuesday
2016-07-20,5269,Wednesday
2016-07-21,5571,Thursday
2016-07-22,6894,Friday
2016-07-23,7586,Saturday
2016-07-24,5033,Sunday
2016-07-25,4136,Monday
2016-07-26,4908,Tuesday
2016-07-27,5376,Wednesday
2016-07-28,5566,Thursday
2016-07-29,7012,Friday
2016-07-30,7762,Saturday
2016-07-31,5207,Sunday
2016-08-01,3762,Monday
2016-08-02,4443,Tuesday
2016-08-03,5058,Wednesday
2016-08-04,5174,Thursday
2016-08-05,6666,Friday
2016-08-06,6584,Saturday
2016-08-07,5146,Sunday
2016-08-08,3820,Monday
2016-08-09,5231,Tuesday
2016-08-10,6259,Wednesday
2016-08-11,6053,Thursday
2016-08-12,5654,Friday
2016-08-13,6056,Saturday
2016-08-14,4701,Sunday
2016-08-15,3767,Monday
2016-08-16,3767,Tuesday
2016-08-17,4477,Wednesday
2016-08-18,4631,Thursday
2016-08-19,6616,Friday
2016-08-20,6611,Saturday
2016-08-21,4835,Sunday
2016-08-22,3073,Monday
2016-08-23,4837,Tuesday
2016-08-24,4960,Wednesday
2016-08-25,5214,Thursday
2016-08-26,6779,Friday
2016-08-27,7102,Saturday
2016-08-28,5525,Sunday
2016-08-29,3391,Monday
2016-08-30,4382,Tuesday
2016-08-31,5116,Wednesday
2016-09-01,4786,Thursday
2016-09-02,6105,Friday
2016-09-03,7054,Saturday
2016-09-04,4524,Sunday
2016-09-05,3441,Monday
2016-09-06,4716,Tuesday
2016-09-07,4661,Wednesday
2016-09-08,4929,Thursday
2016-09-09,6792,Friday
2016-09-10,7602,Saturday
2016-09-11,5152,Sunday
2016-09-12,3709,Monday
2016-09-13,4581,Tuesday
2016-09-14,4972,Wednesday
2016-09-15,5238,Thursday
2016-09-16,6663,Friday
2016-09-17,7310,Saturday
2016-09-18,5634,Sunday
2016-09-19,3847,Monday
2016-09-20,3292,Tuesday
2016-09-21,5870,Wednesday
2016-09-22,5340,Thursday
2016-09-23,5730,Friday
2016-09-24,6992,Saturday
2016-09-25,5106,Sunday
2016-09-26,3808,Monday
2016-09-27,5005,Tuesday
2016-09-28,5051,Wednesday
2016-09-29,5209,Thursday
2016-09-30,6955,Friday
2016-10-01,6893,Saturday
2016-10-02,5047,Sunday
2016-10-03,3657,Monday
2016-10-04,4664,Tuesday
2016-10-05,4333,Wednesday
2016-10-06,5199,Thursday
2016-10-07,6660,Friday
2016-10-08,7120,Saturday
2016-10-09,5992,Sunday
2016-10-10,4613,Monday
2016-10-11,4098,Tuesday
2016-10-12,4861,Wednesday
2016-10-13,4881,Thursday
2016-10-14,6870,Friday
2016-10-15,7457,Saturday
2016-10-16,5063,Sunday
2016-10-17,3632,Monday
2016-10-18,4760,Tuesday
2016-10-19,4913,Wednesday
2016-10-20,5262,Thursday
2016-10-21,6587,Friday
2016-10-22,7795,Saturday
2016-10-23,5250,Sunday
2016-10-24,3817,Monday
2016-10-25,4961,Tuesday
2016-10-26,5334,Wednesday
2016-10-27,5334,Thursday
2016-10-28,6676,Friday
2016-10-29,8197,Saturday
2016-10-30,5263,Sunday
2016-10-31,4098,Monday
2016-11-01,4510,Tuesday
2016-11-02,5842,Wednesday
2016-11-03,5687,Thursday
2016-11-04,5788,Friday
2016-11-05,7294,Saturday
2016-11-06,4765,Sunday
2016-11-07,3599,Monday
2016-11-08,4205,Tuesday
2016-11-09,4520,Wednesday
2016-11-10,4786,Thursday
2016-11-11,5999,Friday
2016-11-12,8080,Saturday
2016-11-13,5194,Sunday
2016-11-14,3667,Monday
2016-11-15,4329,Tuesday
2016-11-16,4841,Wednesday
2016-11-17,5238,Thursday
2016-11-18,6418,Friday
2016-11-19,7401,Saturday
2016-11-20,5451,Sunday
2016-11-21,3705,Monday
2016-11-22,6421,Tuesday
2016-11-23,5383,Wednesday
2016-11-24,4156,Thursday
2016-11-25,6618,Friday
2016-11-26,7906,Saturday
2016-11-27,4702,Sunday
2016-11-28,3791,Monday
2016-11-29,4758,Tuesday
2016-11-30,4789,Wednesday
2016-12-01,4659,Thursday
2016-12-02,7097,Friday
2016-12-03,8770,Saturday
2016-12-04,5361,Sunday
2016-12-05,3748,Monday
2016-12-06,4642,Tuesday
2016-12-07,5273,Wednesday
2016-12-08,5439,Thursday
2016-12-09,7875,Friday
2016-12-10,8727,Saturday
2016-12-11,5644,Sunday
2016-12-12,4043,Monday
2016-12-13,5088,Tuesday
2016-12-14,5460,Wednesday
2016-12-15,6031,Thursday
2016-12-16,8231,Friday
2016-12-17,9156,Saturday
2016-12-18,6291,Sunday
2016-12-19,4530,Monday
2016-12-20,5850,Tuesday
2016-12-21,6457,Wednesday
2016-12-22,7880,Thursday
2016-12-23,7297,Friday
2016-12-24,7861,Saturday
2016-12-25,5577,Sunday
2016-12-26,5186,Monday
2016-12-27,6426,Tuesday
2016-12-28,7967,Wednesday
2016-12-29,7293,Thursday
2016-12-30,6533,Friday
2016-12-31,2520,Saturday
2017-01-01,1133,Sunday
2017-01-02,2194,Monday
2017-01-03,2708,Tuesday
2017-01-04,2942,Wednesday
2017-01-05,3639,Thursday
2017-01-06,5267,Friday
2017-01-07,6538,Saturday
2017-01-08,5040,Sunday
2017-01-09,4135,Monday
2017-01-10,4101,Tuesday
2017-01-11,4520,Wednesday
2017-01-12,4446,Thursday
2017-01-13,6516,Friday
2017-01-14,7220,Saturday
2017-01-15,4554,Sunday
2017-01-16,3791,Monday
2017-01-17,4592,Tuesday
2017-01-18,4913,Wednesday
2017-01-19,4861,Thursday
2017-01-20,6345,Friday
2017-01-21,7650,Saturday
2017-01-22,4820,Sunday
2017-01-23,3470,Monday
2017-01-24,4551,Tuesday
2017-01-25,5094,Wednesday
2017-01-26,5126,Thursday
2017-01-27,7191,Friday
2017-01-28,8352,Saturday
2017-01-29,5393,Sunday
2017-01-30,3775,Monday
2017-01-31,4605,Tuesday
2017-02-01,4703,Wednesday
2017-02-02,4853,Thursday
2017-02-03,6461,Friday
2017-02-04,7883,Saturday
2017-02-05,4779,Sunday
2017-02-06,3551,Monday
2017-02-07,4404,Tuesday
2017-02-08,5012,Wednesday
2017-02-09,4454,Thursday
2017-02-10,6630,Friday
2017-02-11,7956,Saturday
2017-02-12,5085,Sunday
2017-02-13,3726,Monday
2017-02-14,4803,Tuesday
2017-02-15,5162,Wednesday
2017-02-16,5125,Thursday
2017-02-17,6940,Friday
2017-02-18,8002,Saturday
2017-02-19,5426,Sunday
2017-02-20,3609,Monday
2017-02-21,4693,Tuesday
2017-02-22,5304,Wednesday
2017-02-23,5186,Thursday
2017-02-24,6761,Friday
2017-02-25,8417,Saturday
2017-02-26,5581,Sunday
2017-02-27,4089,Monday
2017-02-28,5262,Tuesday
2017-03-01,5033,Wednesday
2017-03-02,4680,Thursday
2017-03-03,6578,Friday
2017-03-04,7749,Saturday
2017-03-05,5454,Sunday
2017-03-06,3941,Monday
2017-03-07,4795,Tuesday
2017-03-08,6032,Wednesday
2017-03-09,5237,Thursday
2017-03-10,7252,Friday
2017-03-11,8509,Saturday
2017-03-12,5661,Sunday
2017-03-13,4259,Monday
2017-03-14,5253,Tuesday
2017-03-15,5229,Wednesday
2017-03-16,5470,Thursday
2017-03-17,7413,Friday
2017-03-18,8073,Saturday
2017-03-19,7153,Sunday
2017-03-20,4917,Monday
2017-03-21,4313,Tuesday
2017-03-22,5745,Wednesday
2017-03-23,5850,Thursday
2017-03-24,8053,Friday
2017-03-25,8889,Saturday
2017-03-26,5211,Sunday
2017-03-27,4377,Monday
2017-03-28,5695,Tuesday
2017-03-29,6354,Wednesday
2017-03-30,6184,Thursday
2017-03-31,7507,Friday
2017-04-01,7396,Saturday
2017-04-02,5258,Sunday
2017-04-03,4146,Monday
2017-04-04,5031,Tuesday
2017-04-05,5135,Wednesday
2017-04-06,4753,Thursday
2017-04-07,6941,Friday
2017-04-08,7462,Saturday
2017-04-09,4961,Sunday
2017-04-10,3719,Monday
2017-04-11,4244,Tuesday
2017-04-12,5092,Wednesday
2017-04-13,5217,Thursday
2017-04-14,7411,Friday
2017-04-15,7984,Saturday
2017-04-16,5723,Sunday
2017-04-17,3597,Monday
2017-04-18,4740,Tuesday
2017-04-19,5388,Wednesday
2017-04-20,5193,Thursday
2017-04-21,7265,Friday
2017-04-22,8033,Saturday
